title,matched_gif_title,similarity,description,category,body_part,target_muscle_gifsrc,equipment,difficulty_level,rating,gif_url,source_a_id,source_b_id
Partner plank band row,Ball Russian Twist throw with partner,0.448,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Strength,Abdominals,abs,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/09/Ball-Russian-Twist-throw-with-partner.gif,928fc9b7-a40d-4307-b2fb-a3d92323aef7,a0b96102-09e9-4dc0-9760-e8bb089c7b9c
FYR Banded Plank Jack,Plank Jacks / Extended Leg,0.5711,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.",Strength,Abdominals,abs,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2015/06/Plank-Jacks-Extended-Leg.gif,8e502d13-106e-497c-b295-279d33d08f33,78f33a0a-6479-4c07-8147-93774a0915f7
Banded crunch,Banded Leg Curl,0.5719,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,leg,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Leg-Curl.gif,999bc6df-cc42-4ba7-9a9d-e86565264ea9,3d57c3ea-e3b0-4e30-b7a6-0a26ed859c6e
Decline band press sit-up,Decline Hammer Press,0.5904,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,chest,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/01/Decline-hammer-press.gif,fc0adfe1-587c-42bc-80a6-022b434acccd,5bdd1f20-5373-4ce6-82b0-c32a052c3f6f
FYR2 Banded Frog Pump,Banded Leg Curl,0.3952,No description available,Strength,Abdominals,leg,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/10/Banded-Leg-Curl.gif,32139f86-6c53-4bd9-a1b5-015640ee4764,3d57c3ea-e3b0-4e30-b7a6-0a26ed859c6e
Band low-to-high twist,Band Alternating Low Row with Twist,0.5622,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,back,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Alternating-Low-Row-with-Twist.gif,27343016-8cb1-4fb1-88e7-fba72f53cbb1,b8f9d090-db14-4040-b418-530712f47504
Barbell roll-out,Standing Barbell Rollout,0.5178,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,abs,Barbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/04/Standing-Barbell-Rollout.gif,c9f33ed3-ea21-4127-8521-850d9605bcb9,ba1e32d4-39e7-47cd-a717-ec646f7ac2a0
Decline bar press sit-up,Decline Hammer Press,0.6064,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,chest,Barbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/01/Decline-hammer-press.gif,3f757314-1b49-4b83-85f1-cdaa69dbc6b2,5bdd1f20-5373-4ce6-82b0-c32a052c3f6f
Bench barbell roll-out,Standing Barbell Rollout,0.4516,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.",Strength,Abdominals,abs,Barbell,Beginner,,https://fitnessprogramer.com/wp-content/uploads/2022/04/Standing-Barbell-Rollout.gif,5b1eeb70-b31d-480d-95e1-07b96a940f68,ba1e32d4-39e7-47cd-a717-ec646f7ac2a0
Single-arm landmine pull and press,Landmine Squat to Press,0.6784,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Abdominals,full-body,Barbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/04/Landmine-Press.gif,29887a87-7645-4261-939d-684de82f1fe4,25600b09-9cde-45e7-9a91-bb198174d5ed
