title,matched_gif_title,similarity,description,category,body_part,target_muscle_gifsrc,equipment,difficulty_level,rating,gif_url,source_a_id,source_b_id
Banded crunch isometric hold,Isometric Pull-Up,0.6832,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.",Strength,Abdominals,back,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/08/Isometric-Pull-Up.gif,797a9167-2e40-4216-a95f-1741dd615ca1,a9ad607b-3b57-4be2-a936-8eadcf220576
Crunch,Frog Crunch,0.6945,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,abs,Bands,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/06/frog-crunch.gif,25e4a122-4595-47ef-86f4-271e09d6ea3f,ac8a7e71-9b12-471c-ae5a-e4cc114d40df
Double Kettlebell Swing,One Arm Kettlebell Swing,0.7026,No description available,Strength,Abdominals,full-body,Kettlebells,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/07/One-Arm-Kettlebell-Swing.gif,f69b9a9c-2950-4219-8875-5370e568ea4f,49862e3f-6ea5-4b66-9c54-984cd1f11b7c
Dumbbell Fix Alternating Renegade Row,Dumbbell Renegade Row,0.7493,No description available,Strength,Abdominals,back,Dumbbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/01/dumbbell-renegade-row-1.gif,3408f0a9-32b8-4446-a35c-56c930b7241a,2dc60d76-ae99-4710-bc00-d448a60ee821
Dumbbell Fix Dumbbell Sit-Up,Dumbbell V-up,0.7463,No description available,Strength,Abdominals,abs,Dumbbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/10/Dumbbell-V-up.gif,eb6711ba-5a2d-43e9-9b1e-3c08a7f45974,a76d8e2a-9efb-483d-a8f0-f61498c2f4ec
Dumbbell crusher,Dumbbell Skull Crusher,0.8098,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,triceps,Dumbbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/06/Dumbbell-Skull-Crusher.gif,87803189-6799-4253-98a4-6ffed20b4581,8c7c4324-bb83-4829-8296-808581149a63
Lying Leg Pullover,Cable Pullover,0.7101,No description available,Strength,Abdominals,back,Dumbbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lying-Extension-Pullover.gif,507836e4-268a-4990-a487-b9bc45fc42ca,9a3d7a44-bf36-4a2a-a0fa-6a6bcef3a8b8
Ab Roller,Ab Roller Crunch,0.8135,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,abs,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/12/Ab-Roller-Crunch.gif,2f7f4311-f380-41a6-89b8-e9306651f43a,cefdabd7-da1e-4cbc-9fb3-e03e6b625073
Pallof press,Cable Half Kneeling Pallof Press,0.6988,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",Strength,Abdominals,shoulders,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Half-Kneeling-Pallof-Press.gif,2b030415-42c5-417f-9efe-f605d271a79e,c259921d-38f2-45ce-beaa-bb17d7a268f2
Holman Weighted Uppercut Punch,Right Uppercut,0.6958,No description available,Strength,Abdominals,cardio,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/08/Right-Uppercut-Boxing.gif,206c65ac-41ce-4624-9c14-a210f08e6703,4edbea83-dd48-44c4-81ea-9878ffc8cb46
Holman Plate Burpee,Burpees,0.6833,No description available,Strength,Abdominals,leg,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/02/burpees.gif,b81cbf84-960a-4981-b6e7-86a2e12e890a,c4d195ea-2a3c-4736-bb0a-9fda9cb275a6
Single-arm high-cable side bend,Cable Side Bend,0.7406,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.,Strength,Abdominals,abs,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Cable-Side-Bend.gif,19760e7d-36eb-449f-ab0d-3a470e28b3d6,d0fb12ce-f818-4512-ac1d-4d4b0d100c02
Cable Seated Crunch,Seated Side Crunch,0.7681,No description available,Strength,Abdominals,abs,Cable,Beginner,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Seated-Side-Crunches.gif,0a658503-ff85-4d1e-95e5-c2c4d9e2bbcf,57cf5497-e455-4796-93d9-b07d28cbabbf
30 Cable Pallof Press,Cable Half Kneeling Pallof Press,0.7434,"The pallof press is an anti-rotation, isometric exercise that trains core stability. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements.",Strength,Abdominals,shoulders,Cable,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Half-Kneeling-Pallof-Press.gif,d825f344-16e7-4b0c-ac44-945804834751,c259921d-38f2-45ce-beaa-bb17d7a268f2
Smith machine V-up,Smith Machine Hex Press,0.7146,The smith machine V-up is a weighted abdominal exercise that involves pressing a weighted bar upward while performing a V-up. Performing it in a Smith machine eliminates the balance challenge of a free weight. It is usually performed for moderate to high reps in the ab-focused portion of a workout.,Strength,Abdominals,chest,Machine,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Smith-Machine-Hex-Press.gif,89a9dbaf-a5a7-4f93-b860-9ff9ae1b7050,792da8ae-239a-4d3f-9fde-449343848455
