title,matched_gif_title,similarity,description,category,body_part,target_muscle_gifsrc,equipment,difficulty_level,rating,gif_url,source_a_id,source_b_id
Barbell Ab Rollout - On Knees,Barbell Rollout,0.8573,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,abs,Barbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/08/Barbell-Rollout.gif,97e483fd-107f-476a-9740-fddb93e4bb19,a9f97cd0-7a73-4bd2-a4ec-166e666811e0
Barbell Side Bend,Barbell Side Bend,1.0,No description available,Strength,Abdominals,abs,Barbell,Beginner,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Side-Bend.gif,02b28cdc-f82e-4544-9050-027bb4fae73d,8f6862ac-c798-4d57-8d83-99f7e668d88c
Seated bar twist,Seated Barbell Twist,0.8233,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,abs,Barbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Twist.gif,8ff24581-60b8-4e7e-9ed2-ea2ab9482902,d251971d-bad1-4481-8300-cd8570c1c84d
Kettlebell Windmill,Kettlebell Windmill,1.0,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Strength,Abdominals,shoulders,Kettlebells,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kettlebell-Windmill.gif,8d3b51eb-1249-4a31-8329-34ea8f5b084d,efe508c9-43df-4432-a58d-9305ddda5c97
Kettlebell swing,Kettlebell Swings,1.0,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,full-body,Kettlebells,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kettlebell-Swings.gif,782b4f78-81cc-4203-9d62-7cc4f03df94e,123ffd0e-0216-4115-9fdd-be7a566429ee
Dumbbell side bend,Dumbbell Side Bend,1.0,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,abs,Dumbbell,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Dumbbell-Side-Bend.gif,e90e82f3-f920-46b9-b7bb-1f13affdb3dc,4ed3514a-a2cb-4aa4-a416-b87d0fecb43d
Landmine twist,Landmine Twist,1.0,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Strength,Abdominals,abs,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/06/Landmine-Twist.gif,c9066ef1-57e6-480e-a098-da4da2638d2f,bb560ed4-5b18-457e-91b1-634770ece903
Suspended ab fall-out,Suspended Ab Fall-out,1.0,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Strength,Abdominals,abs,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2022/08/Suspended-Ab-Fall-out.gif,7df579e3-e664-4668-89f2-933e1e242c0d,c3f44609-0150-4f64-8ea9-83c28d9cefdd
Weighted Sit-Ups - With Bands,Weighted Sit-ups,0.8545,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,abs,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/weightedsitups.gif,d5ad4350-c4fb-4964-b31c-b8d38017e0d1,3d02897b-1822-4670-a4c6-0e312f861eb4
Captain's chair leg raise,Captains Chair Leg Raise,0.9865,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,abs,Other,Intermediate,,https://fitnessprogramer.com/wp-content/uploads/2021/05/Captains-Chair-Leg-Raise.gif,fcbf603b-a5bf-4fa1-a935-aba7ee9e57f1,66ac6a17-5784-41b7-b0a8-a09e1493a4d1
