source_id,source_name,source_url,trust_tier,source_type,intended_use,status
SRC001,"ICMR-NIN Dietary Guidelines for Indians 2024","https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf","Tier 1","pdf","grounding","downloaded"
SRC002,"NIN Dietary Guidelines Website Copy","https://www.nin.res.in/downloads/DietaryGuidelinesforNINwebsite.pdf","Tier 1","pdf","backup_grounding","downloaded"
SRC003,"Fit India Fitness Protocols 18-65","https://cimp.ac.in/wp-content/uploads/2024/01/FitIndia.pdf","Tier 1","pdf","grounding","downloaded"
SRC004,"NIN DGI Booklet English","https://www.nin.res.in/downloads/DGI_Booklet_English_CMYK.pdf","Tier 1","pdf","grounding","downloaded"
SRC005,"ICMR Nutrient Requirements Press Release","https://www.icmr.gov.in/icmrobject/custom_data/1702892982_icmr_press_release_recommended_dietary_allowances_for_indians.pdf","Tier 1","pdf","nutrient_reference","downloaded"
SRC006,"FSSAI Eat Right India Handbook","https://eatrightindia.gov.in/eatsmartcity/images/media/Eat_Right_India_Handbook_19_08_2020.pdf","Tier 1","pdf","diet_behavior","failed"
SRC007,"FSSAI Do You Eat Right","https://www.fssai.gov.in/upload/knowledge_hub/852185f89a7fc009c5Book_Do_You_Eat_Right_16_10_2020.pdf","Tier 1","pdf","diet_behavior","downloaded"
SRC008,"NIN Nutrition Lifestyle and Immunity","https://www.nin.res.in/downloads/Nutrition_Lifestyle_and_Immunity.pdf","Tier 1","pdf","lifestyle","downloaded"
SRC009,"Common Yoga Protocol","https://www.mea.gov.in/images/pdf/common-yoga-protocol.pdf","Tier 1","pdf","activity_guidance","downloaded"
SRC010,"WHO Physical Activity and Sedentary Behaviour Guidelines 2020","https://iris.who.int/server/api/core/bitstreams/faa83413-d89e-4be9-bb01-b24671aef7ca/content","Tier 2","pdf","secondary_generic","downloaded"
SRC011,"free-exercise-db exercises.json","https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/dist/exercises.json","Tier 3","json","structured_exercises","downloaded"
SRC012,"hasaneyldrm exercises-dataset","https://github.com/hasaneyldrm/exercises-dataset","Tier 3","repo","structured_exercises","repo_url_saved"
SRC013,"wrkout exercises.json","https://github.com/wrkout/exercises.json","Tier 3","repo","structured_exercises","repo_url_saved"
SRC014,"exercemus exercises","https://github.com/exercemus/exercises","Tier 3","repo","structured_exercises","repo_url_saved"
SRC015,"longhaul-fitness exercises","https://github.com/longhaul-fitness/exercises","Tier 3","repo","structured_exercises","repo_url_saved"
